Lake,County,Nearby town,Size (acres),Littoral zone (acres),Max depth (ft),Water clarity (ft),MNDNR Code,Notes
Reshanau,Anoka,Lino Lakes,336.0,336.0,16.0,,,
Rhine,Pine,Finlayson,111.0,111.0,8.0,5.8,,
Rice,Anoka,Lino Lakes,442.0,442.0,5.0,,,
Rice,Crow Wing,Brainerd,434.0,202.0,25.0,6.0,,
Rice,Faribault,Wells,266.0,266.0,4.0,,,
Rice,Hennepin,Maple Grove,314.0,314.0,12.0,2.5,,
Rice,Itasca,Grand Rapids,857.0,229.0,68.0,14.75,,
Rice,Morrison,Vawter,339.41,339.41,8.0,4.0,,
Rice,Otter Tail,Vergas,350.0,350.0,8.0,3.3,,
Rice,Sherburne,Briggs Lake,96.0,96.0,,2.82,,
Rice,Sherburne,Elk River,,,,,,
Rice,Sherburne,Zimmerman,255.0,255.0,,5.51,,
Rice,Stearns,Eden Valley,,,,,,
Rice,Stearns,Paynesville,1639.0,958.0,41.0,4.6,,
Rice,Wright,Buffalo,,,,,,
Rice,Wright,Hasty,91.62,59.0,24.0,4.5,,
Rice,Steele,Owatonna,697.0,,5.0,,,
Rice,Wright,Dayton,45.0,45.0,,2.84,,
Rice,Wright,Lyndale,145.0,145.0,,2.33,,
Rice NPSA,Stearns,Richmond,12.0,12.0,6.0,6.0,,
Rice Pond 2,Stearns,Eden Valley,,,,,,
Riley,Hennepin,Eden Prairie,297.0,109.0,49.0,2.7,,
Ring Pond,Wright,Enfield,17.0,17.0,,4.97,,
Ripley,Meeker,Litchfield,558.0,466.0,18.0,5.5,,
Ripple,Aitkin,Aitkin,556.0,295.0,39.0,,,
Riverpointe Pond,Carver,Watertown,5.77,0.0,28.0,18.0,,
Roberds,Rice,Shieldsville,625.4,393.4,43.0,1.5,,
Roberts/Goering Pond,Wright,Hasty,,,,,,
Robinson,Wabasha,Wabasha,808.0,808.0,12.0,6.0,,
Roadside Pond,Stearns,Richmond,,,,,,
Rock,Aitkin,McGregor,317.0,317.0,13.0,4.8,,
Rock,Becker,Detroit Lakes,1048.0,1001.0,18.0,4.0,,
Rock,Cass,Fairview,240.0,,22.0,3.5,,
Rock,Lyon,Russell,439.0,422.0,7.2,1.0,,
Rock,St Louis,Hibbing,2128.4,2128.4,,1.3,,
Rock,Pine,Markville,79.32,79.32,11.0,5.6,,
Rock,Wright,Maple Lake,183.12,99.0,37.0,3.2,,
Rocky,St. Louis,Ely,116.0,42.0,40.0,7.0,,
Rockpile Pond,Stearns,Waite Park,8.62,8.62,6.0,6.0,,
Rockville Pond,Stearns,Rockville,7.0,7.0,32.0,5.0,,
Roe Mine,Crow Wing,Riverton,25.0,10.0,135.0,20.0,,
Rolling,Stearns,Freeport,16.0,16.0,12.0,3.0,,
Rolling Pit,St Louis,Ridge,100.0,100.0,120.0,40.0,,
Roschien,Stearns,Richmond,41.0,41.0,6.0,2.0,,
Roosevelt,Cass,Outing,1585.0,390.0,129.0,15.5,,
Rose,Crow Wing,Klondyke,51.74,51.74,11.0,11.0,,
Rose,Otter Tail,Vergas,1190.0,465.0,137.0,9.0,,
Rose,Cook,Grand Marais,1315.0,408.0,90.0,,,
Roseau Sewage Treatment Pond #1,Roseau,Roseau,32.0,32.0,,0.7,,
Roseau Sewage Treatment Pond #2,Roseau,Roseau,32.0,32.0,,2.0,,
Roseau Sewage Treatment Pond #3,Roseau,Roseau,22.0,22.0,,1.3,,
Ross,Crow Wing,Emily,487.0,317.0,30.0,3.5,,
Rossier,Stearns,St Joseph,36.9,16.0,31.0,9.0,,
Rossman,Becker,Lake Park,241.0,232.0,20.0,7.0,,
Round,Aitkin,Tamarack,577.0,375.0,27.0,,,
Round,Aitkin,Aitkin,633.0,475.0,59.0,12.0,,
Round,Aitkin,Garrison,767.0,322.0,125.0,,,
Round,Anoka,Anoka,266.0,266.0,15.0,,,
Round,Becker,Ponsford,1087.0,473.0,69.0,10.0,,
Round,Crow Wing,Nisswa,1644.0,627.0,51.0,,,
Round,Hennepin,Eden Prairie,31.0,23.0,37.0,12.0,,
Round,Itasca,Big Fork,502.0,239.0,40.0,11.5,,
Round,Itasca,Squaw Lake,2828.0,1968.0,24.0,7.0,,
Round,Jackson,Round Lake,1024.0,1024.0,9.0,1.1,,
Round,Morrison,Harding,129.5,57.0,29.0,9.0,,
Round,Morrison,Pillager,99.49,64.0,18.0,11.5,,
Round,Morrison,Randall,127.08,95.0,20.0,15.2,,
Round,Otter Tail,Ottertail,262.0,220.0,36.0,3.4,,
Round,Sherburne,Clear Lake,35.78,23.0,43.0,7.5,,
Round,Wright,Oster,45.14,34.0,28.0,2.03,,
Roy,Mahnomen,Zerkel,653.0,638.0,16.0,6.5,,
Ruby,Itasca,Grand Rapids,243.0,90.0,88.0,12.0,,
Rush,Jackson,Jackson,293.0,293.0,3.0,0.7,,
Rush,Otter Tail,Ottertail,5338.0,3325.0,68.0,4.5,,
Rush,Cass,Baxter,50.0,50.0,12.0,6.0,,
Rush,Sherburne,Clear Lake,160.91,160.91,11.0,1.9,,
Rush (East),Chisago,Rush City,1359.0,1033.0,24.0,2.4,,
Rushmeyer,Crow Wing,Deerwood,41.1,0.0,26.0,8.0,,
Rush (West),Chisago,Rush City,1464.0,862.0,42.0,3.1,,
Ruth,Crow Wing,Emily,588.0,200.0,39.0,21.0,,
Sabin,St. Louis,Aurora,305.0,135.0,40.0,3.0,,
Sabre,Le Sueur,Cordova,263.0,263.0,13.0,7.0,,
Sagamore Mine,Crow Wing,Riverton,117.82,56.0,210.0,32.0,,
Saganaga,Cook,Grand Marais,17593.0,,280.0,,,
Sagatagan,Stearns,Collegeville,227.75,227.0,42.0,12.0,,
Sallie,Becker,Detroit Lakes,1246.0,577.0,50.0,6.0,,
Salt,Lac qui Parle,Marietta,312.0,,,,,Only alkaline lake in Minnesota.[14]
Salter Pond,Itasca,Bass Brook,11.2,10.0,5.0,5.0,,
Sand (Big),Cass,Remer,736.0,635.0,23.0,8.0,,
Sand (Little),Cass,Remer,403.0,403.0,12.0,7.0,,
Sand (Big),Hubbard,Dorset,1659.0,465.0,135.0,17.3,,
Sand (Little),Hubbard,Dorset,386.0,149.0,80.0,15.5,,
Sand,Itasca,Squaw Lake,4328.0,1897.0,70.0,7.1,,
Sand,Lake,Isabella,476.0,476.0,11.0,4.5,,
Sand,Pine,Moose Lake,501.0,215.0,47.0,12.6,,
Sand,St. Louis,Virginia,701.0,701.0,15.0,12.0,,
Sand,Stearns,Albany,202.0,202.0,12.0,2.9,,
Sand,Stearns,Richmond,65.0,65.0,11.0,3.0,,
Sand Hill,Polk,Fosston,510.0,510.0,17.0,10.0,,
Sandpit,Lake,Ely,61.0,17.8,53.0,19.8,,
Sandy,Beltrami,Tenstrike,260.0,200.0,32.0,5.3,,
Sandy,Sherburne,Crown,64.14,42.0,41.0,12.0,,
Sandy,Wright,Annandale,74.0,74.0,,2.73,,
Sarah,Hennepin,Rockford,574.0,373.0,59.0,1.8,,
Sarah,Murray,Garvin,1093.0,1093.0,11.0,2.5,,
Sarah,Polk,Erskine,352.0,180.0,27.0,17.0,,
Sauer,Becker,Detroit Lakes,212.0,84.0,39.0,11.5,,
Sauk (Big),Todd,Sauk Centre,2094.0,1389.0,59.0,4.1,,
Sauk (Little),Todd,Sauk Centre,268.0,161.0,29.0,6.0,,
Sauk Pond,Stearns,Sauk Centre,7.0,7.0,8.0,30.0,,
Saunders,Hennepin,Mound,70.0,70.0,15.0,1.93,,
Savage,Ramsey,Little Canada,12.0,12.0,8.0,4.5,,
Sawbill,Cook,Tofte,765.0,445.0,45.0,4.5,,
Scalp,Otter Tail,Frazee,243.0,67.0,90.0,15.5,,
Scandinavian,Pope,Terrace,424.0,237.0,49.0,10.0,,
Scanlon Reservoir,Carlton,Scanlon,63.0,45.0,65.0,5.5,,
Schmid,Stearns,Avon,38.0,20.0,34.0,11.0,,
Schmidt,Wright,Buffalo,210.0,210.0,,2.1,,
Schneider,Stearns,Richmond,59.61,26.0,52.0,4.3,,
School,Brown County,Lake Hanska East,54.0,54.0,15.0,5.888,,
School,Stearns,Saint Nicholas,102.81,,,,,
School,Stearns,Farming,65.0,65.0,5.0,2.0,,
School,Wright,Albertville,62.0,62.0,,1.8,,
School,Wright,Saint Michael,,,,,,
Schoolhouse,Meeker,Casey,55.0,55.0,16.0,7.0,,
School Grove,Lyon,Cottonwood,318.0,318.0,11.0,1.55,,
School Section,Stearns,Kimball,201.0,201.0,12.0,8.0,,
School Section,Wright,Waverly,42.0,42.0,,4.72,,
Schroeder,Stearns,Munsion,18.0,18.0,62.0,8.0,,
Schubert (East Bass),St. Louis,Cotton,205.0,140.0,24.0,7.5,,
Schultz,Meeker,Litchfield,48.0,48.0,,4.0,,
Schultz Slough,Stearns,Paynesville,27.0,27.0,12.0,4.3,,
Schuman,Stearns,Avon,23.0,23.0,31.0,16.0,,
Schutz,Carver,Victoria,105.0,40.0,49.0,,,
Schwinghammer,Stearns,Albany,19.0,19.0,16.0,6.0,,
Scott,Wright,South Haven,82.7,52.0,23.0,2.92,,
Scooty,Itasca,Nashwauk,167.0,77.0,75.0,,,
Scout,Stearns,Fairhaven,5.0,5.0,9.0,4.0,,
Scugog,Stearns,Clearwater,48.0,48.0,8.0,6.0,,
Sea Gull,Cook,Grand Marais,4032.0,927.0,145.0,11.5,,
Second Black Quarry,St Louis,Ridge,320.0,320.0,376.0,42.0,,
Section 6 Mine,Crow Wing,Trommald,14.53,2.9,172.0,31.0,,
Section Pond,St. Louis,Crane Lake,35.0,35.0,10.0,10.0,,
Sellards,Meeker,Dassel,97.0,97.0,,2.51,,
Serpent,Crow Wing,Deerwood,1057.0,338.0,65.0,10.0,,
Seventh Crow Wing,Hubbard,Nevis,254.0,120.0,42.0,7.0,,
Sewell,Otter Tail,Dalton,338.0,168.0,52.0,17.0,,
Shackman,Stearns,Cold Spring,56.0,56.0,16.0,10.0,,
Shagawa,St. Louis,Ely,2344.0,711.0,48.0,8.0,,
Shakopee,Mille Lacs,Onamia,675.0,675.0,15.0,5.7,,
Skakopee,Wright,Lamson,153.0,153.0,,2.62,,
Shakopee Memorial Pond,Scott,Shakopee,14.0,14.0,3.2,2.0,,
Shallow,Itasca,Warba,531.0,268.0,85.0,18.2,,
Shallow Pond,Itasca,Alvwood,224.65,176.0,14.0,9.0,,
Shamineau,Morrison,Motley,1428.0,746.0,56.0,20.0,,
Shamrock,Itasca,Taconite,50.33,18.0,55.0,14.0,,
Shaokotan,Lincoln,Ivanhoe,995.0,995.0,10.0,2.0,,
Sharp Muskrat,Dakota,Hastings,296.0,296.0,8.0,3.0,,
Sheep,Morrison,Randall,20.0,20.0,,8.2,,
Sheldon,Wright,Hasty,49.71,15.0,43.0,10.5,,
Shell,Becker,Snellman,3140.0,3070.0,16.0,4.0,,
Shetek,Murray,Currie,3596.0,3596.0,10.0,,,
Shible,Swift,Appleton,340.0,340.0,8.5,2.0,,
Shields,Rice,Shieldsville,872.0,658.1,42.0,8.0,,
Shingobee,Hubbard,Akeley,171.93,43.0,40.0,12.0,,
Shoal,Itasca,Nashwauk,286.0,114.0,77.0,13.5,,
Shoal,Itasca,Grand Rapids,645.0,645.0,7.0,4.0,,
Shoper-Bush Reservoir,Cottonwood,Jeffers,20.0,20.0,15.0,3.2,,
Side,St. Louis,Chisholm,372.0,153.0,32.0,14.0,,
Sina,Douglas,,,,,,,
Silver,Clay,Hawley,114.0,36.0,39.0,6.0,,
Silver,Otter Tail,Frazee,247.0,224.0,34.0,4.7,,
Silver,Olmsted,Rochester,50.41,34.0,11.0,1.3,,
Silver,Sibley,Arlington,621.0,621.0,8.0,1.0,,
Silver,Wright,Silver Creek,82.72,30.0,42.0,4.0,,
Silver Creek Reservoir,Olmsted,Chester,106.52,106.52,45.0,3.5,,
Silver Island,Lake,Isabella,1102.0,1102.0,15.0,7.5,,
Siseebakwet (Sugar),Itasca,Grand Rapids,1306.0,292.0,105.0,9.0,,
Sissabagama,Aitkin,Aitkin,365.0,219.0,37.0,6.5,,
Six Mile,Cass,Bena,1288.0,606.0,68.0,8.3,,
Sixth Crow Wing,Hubbard,Nevis,320.0,160.0,40.0,5.7,,
Skindance,Lake,Ely,58.0,58.0,52.0,14.5,,
Skinny Pit,St Louis,Ridge,50.0,50.0,42.0,33.0,,
Skogman,Isanti,Cambridge,226.0,135.0,36.0,3.8,,
Skriebakken,Hennepin,Bloomington,5.7,5.7,7.0,3.6,,
Skunk,Morrison,Vawter,315.0,315.0,,5.02,,
Skunk,Morrison,Vineland,32.0,32.0,,4.17,,
Slate,Lake,Isabella,294.0,294.0,7.0,2.7,,
Sleepy Eye,Brown,Sleepy Eye,277.0,203.0,21.0,2.5,,Named for Chief Sleepy Eye.[8]: 304
Slough,Wright,Monticello,46.0,46.0,9.0,5.25,,
Slough,Wright,Silver Creek,24.0,24.0,,4.8,,
Slough,Wright,West Albion,30.0,30.0,,4.71,,
Small Quarry,St Louis,Ridge,42.0,42.0,105.0,33.0,,
Smetana,Hennepin,Eden Prairie,59.0,53.0,12.0,3.0,,
Smith,Crow Wing,Garrison,441.0,181.0,54.0,13.5,,
Smith,Douglas,Alexandria,575.0,270.0,30.0,3.5,,
Smith,St. Louis,Brimson,180.0,74.0,51.0,,,
Smith,Wright,Cokato,243.52,243.52,5.0,2.76,,
Smith Pond,Hennepin,Bloomington,7.65,8.6,16.0,3.5,,
Smoke Lake,Cook,Tofte Township,158.0,,20.0,,,
Snail,Ramsey,Shoreview,150.0,130.0,30.0,9.0,,
Snider,Mahnomen,Nay-tah-waush,632.0,268.0,29.0,8.0,,
Snodgrass,Wright,Hanover,65.0,,9.0,,,
Snoshoe Mine,Crow Wing,Riverton,6.58,1.0,85.0,26.0,,
Snowbank,Lake,Ely,3303.0,879.0,150.0,21.0,,
Snyder,Hennepin,Plymouth,10.0,10.0,16.0,1.03,,
Somers,Wright,Maple Lake,158.0,128.0,21.0,2.0,,
South Bean,Cook,Maple Hill,16.15,16.15,17.0,8.5,,
South Berthiaume,Wright,Buffalo,19.66,12.0,73.0,10.5,,
South Big Pine,Aitkin,Finlayson,372.0,96.0,28.0,9.0,,
South Browns,Stearns,Richmond,46.0,46.0,12.0,6.0,,
South Goose,Washington,Lake Elmo,33.0,33.0,18.0,1.0,,
South Long (Lower),Crow Wing,Brainerd,1309.0,461.0,47.0,9.0,,
South Long (Upper),Crow Wing,Brainerd,802.0,283.0,47.0,7.0,,
South Long Pit,St Louis,Ridge,70.0,70.0,102.0,32.0,,
South Maughan,Stevens,Morris,143.0,143.0,,0.3,,
South Stake,Becker,Lake Park,450.0,450.0,15.0,1.8,,
South Sturgeon,Itasca,Chisholm,192.0,45.0,43.0,1.9,,
South Turtle,Otter Tail,Underwood,630.0,398.0,35.0,15.8,,
South Twin,Mahnomen,Waubun,1000.0,525.0,29.0,7.0,,
South Twin,Morrison,Lincoln,29.0,29.0,,7.9,,
South Twin,Stearns,Sauk Centre,54.0,54.0,12.0,9.0,,
South Twin,Wright,Buffalo,43.93,35.6,19.0,1.5,,
South Walnut,Faribault,Wells,392.0,392.0,2.0,,,
Spectacle,Isanti,Cambridge,239.0,157.0,51.5,11.7,,
Spellman,Yellow Medicine,Clarkfield,,,7.0,,,
Spider,Hubbard,Nevis,544.0,405.0,96.0,15.0,,
Spider,Itasca,Marcell,1349.0,737.0,36.0,10.5,,
Spider Mum Pond,Morrison,Genola,,,,,,
Spirit,Aitkin,Bennettville,530.0,260.0,49.0,12.0,,
Spirit(St. Louis River Estuary),St Louis,Duluth,10255.25,10242.07,55.0,3.0,,
Spirit,Wadena,Menahga,115.0,65.0,45.0,8.3,,
Spitzer,Otter Tail,Urbank,728.0,631.0,33.0,9.0,,
Split Hand,Itasca,Grand Rapids,1420.0,511.0,34.0,8.5,,
Split Rock Reservoir,Pipestone,Pipestone,95.79,79.0,16.0,1.8,,
Spoon,Lake,Winton,223.0,87.0,85.0,16.0,,
Spoon,Ramsey,Maplewood,6.82,10.0,6.0,,,
Spotanski,Wright,Rockford,55.0,55.0,,2.92,,
Spring,Meeker,Dassel,218.0,165.0,30.0,4.0,,
Spring,Polk,Lengby,136.0,44.0,35.0,6.0,,
Spring,Scott,Prior Lake,580.0,290.0,37.0,2.3,,
Spring,St. Louis,Crane Lake,194.0,49.0,60.0,15.5,,
Spring,Wright,Cokato,54.0,54.0,,2.53,,
Spring Creek,Goodhue,Red Wing,181.0,181.0,14.0,8.0,,
Spring Hole,St. Louis,Markham,1.2,1.2,16.0,7.2,,
Spring North Mine Pit,St Louis,Ridge,72.0,72.0,65.0,35.0,,
Spring South Mine Pit,St Louis,Ridge,120.0,120.0,125.0,35.0,,
Square,Washington,Stillwater,195.0,65.0,68.0,2.1,,
Stalker,Otter Tail,Underwood,1280.0,575.0,95.0,7.5,,
Staloch Pond,Wright,Monticello,16.0,16.0,,4.33,,
St Anna,Stearns,St Rosa,125.56,31.0,107.0,10.8,,
Stanchfield,Morrison,Pillager,115.98,17.0,32.0,11.9,,
Star,Meeker,Litchfield,557.0,557.0,15.0,2.9,,
Star,Morrison,Sobieski,30.0,30.0,,4.2,,
Star,Todd,Lincoln,47.0,36.0,30.0,9.0,,
Star,Otter Tail,Dent,4721.0,2813.0,94.0,11.4,,
Star Pond,Benton,Foley,,,,,,
Stark,Crow Wing,Emily,215.0,,66.0,8.0,,
Starvation,Morrison,Pine Center,19.0,19.0,,6.82,,
Stay,Lincoln,Arco,224.0,224.0,6.0,0.8,,
Steamboat,Cass,Cass Lake,1775.0,532.0,93.0,10.0,,
Steele,Wright,Hanover,141.0,141.0,13.0,1.79,,
Steep Bank,Lincoln,Hendricks,208.0,208.0,6.5,1.0,,
Stella,Meeker,Darwin,553.0,226.0,75.0,5.6,,
Stephens Settling Basin,St Louis,Ridge,323.0,323.0,202.0,40.0,,
Stevens,Cass,Longville,105.0,67.0,63.0,13.0,,
Stevens,Meeker,Darwin,30.0,30.0,,2.3,,
Stewart,Lake,Two Harbors,248.0,247.0,24.0,10.3,,
Stickney,Sherburne,Clear Lake,82.0,82.0,8.0,4.17,,
Stingy,Itasca,Nashwauk,378.0,207.0,25.0,5.5,,
Stinking,Becker,Lake Park,370.0,370.0,7.0,1.3,,
Still,Morrison,Fort Ripley,,,,,,
St James Pit,St. Louis,Aurora,104.54,8.4,381.0,33.0,,
Stocking,Wadena,Menahga,343.0,326.0,22.0,5.0,,
Stone,St. Louis,Rollins,206.0,196.0,17.0,7.0,,
Stone,Sherburne,Crown,37.0,37.0,,6.56,,
Stone Axe,Itasca,Oslund,53.0,53.0,28.0,6.0,,
Stony,Cass,Hackensack,595.0,178.0,50.0,22.0,,
Stony,Lake,Isabella,227.0,227.0,4.0,3.0,,
Stony,Morrison,Upsala,44.0,44.0,8.0,3.64,,
Store,Polk,Fosston,49.65,46.0,19.0,4.0,,
Stowe,Douglas,Brandon,366.0,366.0,14.0,4.0,,
Straight,Becker,Osage,423.0,178.0,63.0,7.0,,
Strand,Sherburne,Big Lake,12.0,12.0,,5.08,,
Strawberry,Becker,White Earth,1522.0,563.0,40.0,18.0,,
St Rosa Pond,Stearns,St Rosa,,,,,,
Stuart,Otter Tail,Vining,699.0,405.0,49.0,24.0,,
Stub,Stearns,Sauk Centre,61.0,61.0,13.0,5.0,,
Stubler Pit,St. Louis,Buhl,13.0,1.0,40.0,17.5,,
Stud,Morrison,Little Falls,14.0,14.0,,6.23,,
Stumpf,Stearns,Collegeville,72.06,72.06,36.0,11.0,,
Sturgeon,Pine,Sturgeon Lake,1405.0,495.0,40.0,8.7,,
Sturgeon,St. Louis,Chisholm,1664.0,667.0,80.0,14.5,,
Sucker,Lake,Ely,393.0,178.0,31.0,9.0,,
Sugar,Aitkin,Glen,398.0,267.0,45.0,13.0,,
Sugar,Cass,Remer,664.0,325.0,44.0,3.4,,
Sugar,Itasca,Cass Lake,1585.0,1268.0,22.0,9.0,,
Sugar,Wright,Maple Lake,1015.0,357.0,69.0,11.0,,
Sugar Bush (Big),Becker,Richwood,472.0,297.0,42.0,14.5,,
Sugar Bush (Little),Becker,Richwood,202.0,99.0,29.0,12.2,,
Sullivan,Morrison,Harding,1221.0,567.0,57.0,,,
Sullivan,Wright,Maple Lake,70.58,41.0,58.0,5.54,,
Sunhigh,Cook,Forest Center,57.0,57.0,,7.9,,
Sunrise,Chisago,Lindstrom,742.0,712.0,21.0,2.7,,
Sunset,Washington,White Bear Lake,124.0,124.0,17.0,5.0,,
Sunset Pond,Dakota,Burnsville,44.45,41.38,10.5,5.7,,
Superior,Cook,Duluth,,,1333.0,,16000100.0,"Also partially in Ontario, Canada, and Wisconsin and Michigan"
Susan,Carver,Chanhassen,87.78,75.0,17.0,2.3,,
Susana,Cook,Maple Hill,2.75,2.75,9.0,6.0,,
Swamp,Aitkin,Glen,273.0,273.0,5.0,4.0,,
Swamp,Stearns,Melrose,26.0,26.0,17.0,2.0,,
Swamp,Stearns,Watkins,23.0,23.0,20.0,7.36,,
Swamp River Reservoir,Cook,Hovland,164.63,164.63,10.0,5.5,,
Swan,Itasca,Pengilly,2472.0,507.0,65.0,9.5,,
Swan,McLeod,Silver Lake,343.0,343.0,10.0,,,
Swan,Nicollet,Nicollet,9346.0,,8.5,,,
Swan,Otter Tail,Fergus Falls,689.0,371.0,44.0,11.5,,
Swan,Wright,Knapp,123.0,123.0,,3.61,,
Swartout,Wright,Annandale,285.0,285.0,11.0,2.03,,
Swenson,Beltrami,Bemidji,388.0,136.0,76.0,17.5,,
Sybil,Otter Tail,Vergas,706.0,423.0,74.0,13.5,,
Sylvan,Morrison,Sylvan,321.49,190.97,31.0,6.0,,
Sylvia (West & East),Wright,South Haven,652.0,170.0,78.0,17.0,,
Sylvia,Stearns,Grey Eagle,85.0,22.0,56.0,8.0,,
Talcot,Cottonwood,Dundee,678.0,678.0,6.0,1.0,,
Tamarac,Otter Tail,Pelican Rapids,392.0,392.0,11.0,6.0,,
Tamarack,Becker,Rochert,1431.0,1389.0,17.0,3.5,,
Tamarack,Carlton,Wright,228.0,176.0,48.0,5.0,,
Tamarack,Morrison,Burtrum,30.0,30.0,,2.3,,
Tamarack,Morrison,Pillager,64.0,64.0,,7.68,,
Tamarack,Stearns,Brooten,344.0,344.0,7.0,3.0,,
Tamarack,Stearns,St Rosa,16.0,16.0,10.0,4.0,,
Tamarack,Wright,Buffalo,61.54,46.0,26.0,3.48,,
Tame Fish,Crow Wing,Deerwood,127.0,52.0,58.0,12.0,,
Tanager,Hennepin,Orono,54.0,38.0,23.0,,,
Taylor,Wright,Highland,52.0,52.0,,2.44,,
"Teal Ponds 1, 2, 3",Ramsey,North Oaks,,,999.0,333.0,,
Ten Mile,Cass,Hackensack,4669.0,1316.0,208.0,15.5,,
Ten Mile,Otter Tail,Dalton,1411.0,597.0,51.0,8.0,,
Terrace Mill Pond,Pope,Terrace,9.0,9.0,15.0,6.0,,
Tetonka,Le Sueur,Waterville,1336.0,548.0,35.0,9.0,,
Teufer,Koochiching,Northome,38.89,23.0,52.0,,,
Thein,Stearns,Richmond,35.0,12.0,44.0,6.03,,
Thief,Marshall,Gatzke,6172.0,,7.5,3.0,,
Third Crow Wing,Hubbard,Hubbard,643.0,367.0,35.0,7.0,,
Thirteen,Cass,Cass Lake,470.0,329.0,50.0,10.0,,
Thistle Dew,Itasca,Togo,318.0,73.0,45.0,13.0,,
Thoen,Meeker,Acton,259.0,259.0,,1.9,,
Thole,Scott,Shakopee,118.52,118.52,12.0,6.8,,
Thole/Schneider,Scott,Shakopee,105.0,105.0,12.0,2.0,,
Thompson,Cook,Grand Marais,18.22,18.22,12.0,8.0,,
Thompson,Crow Wing,Pine Knoll,15.0,15.0,,10.9,,
Thompson,Dakota,West Saint Paul,8.08,7.02,8.0,3.5,,
Thompson,Grant,Hoffman,153.65,73.86,22.0,4.6,,
Thompson,Kandiyohi,Spicer,26.0,26.0,,2.9,,
Thompson,Meeker,Cosmos,225.75,225.75,8.0,1.5,,
Thompson,Sherburne,Salida,84.34,63.0,22.0,6.8,,
Thompson,St Louis,Fredenberg,207.17,207.17,9.0,7.6,,
Thomson Reservoir,Carlton,Thomson,389.96,283.0,22.0,26.0,,
Thornton,Aitkin,Deerwood,216.0,203.0,21.0,9.0,,
Three,Clay,Hawley,105.0,,14.0,1.5,,
Three Finger,Morrison,Randall,,,,,,
Three Island,Beltrami,Turtle River,678.0,635.0,25.0,7.75,,
Three Island,Itasca,Marcell,235.0,66.0,66.0,18.0,,
Thunder Lake,Cass,Remer,1330.0,226.0,95.0,20.0,,
Tilde,Clay,Hitterdahl,259.0,259.0,13.0,2.0,,
Timber,Jackson,Windom,198.0,198.0,8.0,0.9,,
Tiny Pond,Stearns,Sauk Centre,3.0,3.0,2.0,0.3,,
Tioga Mine Pit,Itasca,Cohasset,51.0,1.0,225.0,43.0,,
Titicaca Pit,St Louis,Ridge,310.0,310.0,222.0,32.0,,
Titlow,Sibley,Gaylord,827.0,,3.5,2.0,,
Toad,Becker,Osage,1716.17,561.0,29.0,5.3,,
Toad Lily Pond,Morrison,Pierz,,,,,,
Todd,McLeod,,,,,,,
Tofte,Lake,Ely,155.0,42.0,73.0,13.0,,
Tom,Cook,Hovland,576.0,334.0,35.0,7.5,,
Topaz,Lake,Prairie Portage,149.99,29.0,73.0,19.0,,
Tornado,Lake,Isabella,25.1,25.1,7.0,2.8,,
Towers,Meeker,Manannah,52.0,52.0,,5.2,,
Town Line,Cass,Longville,510.0,510.0,11.0,10.5,,
Traverse,Traverse,Browns Valley,11528.0,11528.0,12.0,,,
Trelipe (Lower),Cass,Longville,602.0,355.0,32.0,6.0,,
Trelipe (Upper),Cass,Longville,409.0,143.0,69.0,12.5,,
Triangle,Lake,Ely,309.0,160.0,43.0,16.0,,
Triangle Pond,Benton,Sartell,,,,,,
Trillium Pond,Morrison,Pierz,,,,,,
Triple Pond,Stearns,Eden Valley,18.0,18.0,12.0,0.5,,This 18 acre lake is named for being split into 3 separate but connected bodies of water by County Road 180 and 150th St. The lake has a maximum depth of about 12 Feet. There anglers can expect to catch many Brown Bullhead and a very rare Green Sunfish.
Troost Pond,Blue Earth,Mankato,3.0,3.0,45.0,9.0,,
Trout,Cook,Grand Marais,257.0,59.0,77.0,17.0,,
Trout,Itasca,Coleraine,1890.0,438.0,135.0,14.5,,
Trout,Itasca,Grand Rapids,1753.0,386.0,157.0,10.0,,
Trout Brook Pond,Sherburne,Elk River,,,,,,
Trout Pond 1,Sherburne,Orrock,,,,,,
Trout Pond 2,Sherburne,Orrock,,,,,,
Trout Pond 3,Sherburne,Orrock,,,,,,
Trowbridge,Otter Tail,Vergas,620.8,272.0,76.0,9.9,,
Tschumperlin,Stearns,Richmond,25.0,25.0,11.0,6.0,,
Tulaby,Mahnomen,Waubun,773.0,281.0,43.0,8.5,,
Turner,Crow Wing,Crosby,56.9,26.0,36.0,13.0,,
Turtle (Big),Beltrami,Bemidji,1436.0,718.0,45.0,8.0,,
Turtle (Little),Beltrami,Puposky,464.0,302.0,25.0,7.0,,
Turtle,Douglas,Forada,220.0,183.0,21.0,2.0,,
Turtle,Itasca,Marcell,2052.0,556.0,137.0,10.5,,
Turtle,Meeker,Darwin,47.0,47.0,,4.66,,
Turtle,Polk,Fosston,545.0,545.0,12.0,2.3,,
Turtle,Ramsey,Shoreview,409.0,245.0,28.0,4.5,,
Turtle River,Beltrami,Turtle River,1740.0,688.0,63.0,10.0,,
Tuscarora,Cook,BWCA,833.0,198.0,130.0,9.5,,
Twelve,Morrison,Vineland,145.0,145.0,,6.4,,
Twin,Hennepin,Robbinsdale,212.0,172.0,44.0,4.6,,
Twin,Otter Tail,Amor,333.0,189.0,50.0,16.0,,
Twin,Sherburne,Crown,,,,,,
Twin,Sherburne,Elk River,40.31,40.31,18.0,9.66,,
